YEAR,FLTS,ADEP_ADES,NA_ADEP,NA_ADES,MIN_DAY,MAX_DAY
2019,30989481,16701359,9161699,7214138,NA,NA
2020,22494526,14056961,5572449,3973629,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
2021,3397961,2082060,848582,634471,2021-01-01T00:00:00Z,2021-02-28T00:00:00Z
